,CR_id,amount,CR_status,CR_created_at,CR_updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update,F_id,type,F_status,category,total_amount,reason,F_created_at,F_updated_at,paid_at,from_date,to_date,charge_moment
10967,3289,100.0,money_back,2020-06-14 11:46:29.921115+00,2020-12-18 13:08:39.362012+00,14872.0,2020-06-14 13:41:42.668395+00,,2020-07-10 22:00:00+00,2020-06-16,2020-07-12 22:00:00+00,regular,,,,,,,,,,,,,,,,
10972,2703,100.0,money_back,2020-06-08 07:40:31.98398+00,2020-12-18 13:08:39.369531+00,4505.0,2020-06-08 09:25:30.530946+00,,2020-07-07 22:00:00+00,2020-06-10,2020-07-07 22:00:00+00,regular,,,,,,,,,,,,,,,,
10978,2847,100.0,money_back,2020-06-10 03:11:56.047605+00,2020-12-18 13:08:39.39285+00,4783.0,2020-06-10 11:36:13.624706+00,,2020-07-01 22:00:00+00,2020-06-11,2020-07-03 03:17:42.668208+00,regular,,,,,,,,,,,,,,,,
10979,313,100.0,money_back,2019-12-26 18:20:52.852143+00,2020-12-19 22:44:47.806126+00,2187.0,2019-12-27 14:04:06.688064+00,,2020-02-27 23:00:00+00,2019-12-30,2021-01-04 23:00:00+00,regular,,completed,2020-03-20 14:12:53.234233+00,2020-12-19 22:44:47.82044+00,,,,,,,,,,,,
10981,3510,100.0,money_back,2020-06-16 16:57:59.37539+00,2020-12-18 13:08:39.430764+00,6596.0,2020-06-17 10:20:40.994457+00,,2020-07-03 22:00:00+00,2020-06-19,2020-07-07 15:30:23.270251+00,regular,,,,,,,,,,,,,,,,
10988,4775,100.0,money_back,2020-06-23 09:36:23.513739+00,2020-12-18 13:08:39.501924+00,9736.0,2020-06-23 13:27:43.544878+00,,2020-07-03 22:00:00+00,2020-06-26,2020-07-07 15:40:39.507823+00,regular,,,,,,,,,,,,,,,,
10990,4704,100.0,rejected,2020-06-22 20:22:56.348809+00,2020-06-23 10:52:32.685615+00,,2020-06-23 10:52:32.680882+00,22010.0,2020-07-01 22:00:00+00,,,regular,,,,,,,,,,,,,,,,
10991,3382,50.0,money_back,2020-06-15 16:08:57.410576+00,2020-12-18 13:08:39.549383+00,14585.0,2020-06-15 16:11:21.239301+00,,2020-07-15 22:00:00+00,2020-06-17,2020-07-15 22:00:00+00,regular,,,,,,,,,,,,,,,,
10998,6886,100.0,money_back,2020-07-07 10:25:49.236035+00,2020-12-18 13:09:03.522843+00,20229.0,2020-07-07 13:06:36.900878+00,,2020-07-24 22:00:00+00,2020-07-09,2020-07-29 22:00:00+00,regular,,,,,,,,,,,,,,,,
10999,2959,100.0,money_back,2020-06-11 04:42:14.184417+00,2020-12-18 13:08:39.616455+00,,2020-06-11 11:39:34.882214+00,3940.0,2020-06-29 22:00:00+00,2020-06-13,2020-07-02 19:01:57.14863+00,regular,,,,,,,,,,,,,,,,
11000,22109,50.0,rejected,2020-10-19 10:44:14.438567+00,2020-10-19 13:19:00.463526+00,,2020-10-19 13:19:00.455754+00,20711.0,2020-11-19 11:00:00+00,,,regular,2020-10-26 10:44:14.434536+00,,,,,,,,,,,,,,,
11026,2876,100.0,money_back,2020-06-10 08:57:05.250727+00,2020-12-18 13:08:39.709967+00,1512.0,2020-06-10 10:33:21.818024+00,,2020-07-01 22:00:00+00,2020-06-12,2020-07-03 03:17:30.170834+00,regular,,,,,,,,,,,,,,,,
11031,2670,100.0,money_back,2020-06-06 23:58:35.357851+00,2020-12-18 13:08:39.721921+00,6641.0,2020-06-07 08:02:37.349093+00,,2020-07-02 22:00:00+00,2020-06-09,2020-07-04 03:15:42.561663+00,regular,,,,,,,,,,,,,,,,
11042,653,100.0,direct_debit_rejected,2020-02-10 00:55:04.249188+00,2020-12-23 22:16:43.73094+00,191.0,2020-02-10 09:10:54.461782+00,,2020-03-04 23:00:00+00,2020-02-10,,regular,,pending,2020-03-20 14:12:53.303828+00,2020-12-23 22:16:43.746393+00,,,,,,,,,,,,
11073,2997,100.0,money_back,2020-06-11 10:28:39.174156+00,2020-12-18 13:08:39.786112+00,1307.0,2020-06-11 11:07:43.027069+00,,2020-07-04 22:00:00+00,2020-06-12,2020-07-07 15:47:17.069604+00,regular,,,,,,,,,,,,,,,,
11074,3152,100.0,money_back,2020-06-12 12:27:01.928873+00,2020-12-18 13:08:39.81003+00,8541.0,2020-06-12 14:32:22.518367+00,,2020-07-03 22:00:00+00,2020-06-16,2020-07-07 15:54:20.940662+00,regular,,,,,,,,,,,,,,,,
11075,3478,80.0,money_back,2020-06-16 12:38:38.140763+00,2020-12-18 13:08:39.821775+00,526.0,2020-06-16 13:26:21.815821+00,,2020-06-28 22:00:00+00,2020-06-18,2020-06-30 08:46:35.936146+00,regular,,,,,,,,,,,,,,,,
11076,1433,100.0,direct_debit_rejected,2020-04-29 03:00:12.145434+00,2020-12-25 22:44:32.044264+00,5393.0,2020-04-29 12:47:45.898485+00,,2020-05-29 03:00:28.371+00,2020-04-30,2020-06-18 17:49:13.752503+00,regular,,pending,2020-06-03 20:25:09.456802+00,2020-12-25 22:44:32.063527+00,,,,,,,,,,,,
11081,3961,100.0,money_back,2020-06-18 14:54:49.699064+00,2020-12-18 13:08:39.830179+00,18571.0,2020-06-18 16:50:27.557285+00,,2020-06-28 22:00:00+00,2020-06-21,2020-06-30 08:46:57.604285+00,regular,,,,,,,,,,,,,,,,
11088,14208,100.0,money_back,2020-09-01 14:02:50.59056+00,2020-12-18 13:08:39.862618+00,3042.0,,,2020-10-05 22:00:00+00,2020-09-10,2020-10-06 19:23:15.798468+00,regular,2020-09-08 14:02:50.543493+00,,,,,,,,,,,,,,,
11089,590,100.0,direct_debit_rejected,2020-02-02 08:20:11.309369+00,2020-12-19 22:12:00.335472+00,1808.0,2020-02-02 14:17:55.697772+00,,2020-03-09 23:00:00+00,2020-02-04,2020-03-18 21:10:38.733214+00,regular,,pending,2020-03-20 23:10:34.371065+00,2020-12-19 22:12:00.351915+00,,,,,,,,,,,,
11090,3832,100.0,money_back,2020-06-18 05:33:27.73758+00,2020-12-18 13:08:39.878198+00,16956.0,2020-06-18 13:57:49.891339+00,,2020-07-02 22:00:00+00,2020-06-19,2020-07-04 03:15:43.805088+00,regular,,,,,,,,,,,,,,,,
11093,3799,100.0,money_back,2020-06-18 00:49:02.976113+00,2020-12-18 13:08:39.902994+00,10562.0,2020-06-18 13:15:52.692709+00,,2020-07-04 22:00:00+00,2020-06-22,2020-07-07 15:58:58.760748+00,regular,,,,,,,,,,,,,,,,
